Temp [C],Umid. Relativa,Vazão [m3/min],Pres. Total [Pa],Pres. Estatica [Pa],Pres. Dinâmica [Pa],Pres. Placa o. [Pa],Teste
24.275,65.237,0.948,243.428,224.948,18.48,355.42,3
24.324,65.277,0.948,238.775,220.735,18.04,348.095,3
24.386,65.295,0.949,235.059,217.258,17.801,258.984,3
24.45,65.313,0.951,232.486,214.721,17.765,385.937,3
24.51,65.347,0.952,230.882,212.958,17.924,254.101,3
24.561,65.377,0.952,230.269,211.983,18.286,352.978,3
24.595,65.403,0.951,230.681,211.845,18.836,340.771,3
24.604,65.427,0.95,231.999,212.497,19.502,310.254,3
24.581,65.438,0.949,234.083,213.828,20.255,257.763,3
24.522,65.441,0.947,236.698,215.599,21.099,373.73,3
24.432,65.429,0.946,239.655,217.701,21.954,300.488,3
24.327,65.393,0.944,242.606,219.987,22.619,339.55,3
24.223,65.335,0.943,244.971,221.968,23.003,341.992,3
24.136,65.259,0.943,246.61,223.429,23.181,370.068,3
24.081,65.182,0.943,247.128,223.91,23.218,312.695,3
24.066,65.131,0.945,246.158,223.01,23.148,376.172,3
24.089,65.119,0.946,243.787,220.835,22.952,269.97,3
24.146,65.144,0.949,239.868,217.24,22.628,346.875,3
24.217,65.198,0.951,234.602,212.354,22.248,384.716,3
24.279,65.27,0.954,228.665,206.81,21.855,247.998,3
24.329,65.35,0.956,222.439,200.986,21.453,263.867,3
24.369,65.436,0.957,216.157,195.099,21.058,341.992,3
24.401,65.521,0.956,210.222,189.581,20.641,294.384,3
24.426,65.594,0.955,204.916,184.722,20.194,346.875,3
24.448,65.642,0.953,200.447,180.643,19.804,349.316,3
24.466,65.651,0.95,197.246,177.774,19.472,290.722,3
24.47,65.619,0.947,195.501,176.314,19.187,310.254,3
24.462,65.549,0.944,194.952,175.927,19.025,340.771,3
24.449,65.448,0.941,195.584,176.582,19.002,232.129,3
